id,title,overview,rating,poster
262966,Netru Indru,"A team of cops is sent to the forest to capture/kill a police officer who has gone rogue. In a parallel track, a young woman seeks the help of a debauched car driver to take her to the forest. What happens in the forest and how are these two plots connected?",2.0,/T1gnd02hrmu6i8yfciPrY3UJzZ.jpg
878608,Resurrection,"In a future where humanity has surrendered its ability to dream in exchange for immortality, an outcast finds illusion, nightmarish visions, and beauty in an intoxicating world of his own making.",6.674,/wBXvXc7CoE1TCEL96VzMkMQKYG9.jpg
1306368,The Rip,"Trust frays when a team of Miami cops discovers millions in cash inside a run-down stash house, calling everyone — and everything — into question.",7.073,/4wsYWH73Hb1B6noGIFaRQSAkuXj.jpg
1054867,One Battle After Another,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.",7.411,/lbBWwxBht4JFP5PsuJ5onpMqugW.jpg
1171145,Crime 101,"When an elusive thief whose high-stakes heists unfold along the iconic 101 freeway in Los Angeles eyes the score of a lifetime, with hopes of this being his final job, his path collides with a disillusioned insurance broker who is facing her own crossroads. Determined to crack the case, a relentless detective closes in on the operation, raising the stakes even higher.",7.0,/2HoR2x23bqKpopluoBD1FH3tBi7.jpg
586068,Malibu,Ernesto has found a peculiar way to meet people and earn a living: provoking car accidents.,5.8,/zdJfvtjd20RKRUygKGiJG6sMhxH.jpg
81661,Tilva Ros,"Bor, in eastern Serbia, was once home to the largest copper mine in Europe. Now it’s just the biggest hole. This astutely observed coming-of-age film captures the pitfalls of the adult world, where idealism no longer seems to have a place, as two teens come to realize they have no choice but to grow up.",5.833,/1AJYzDk22n1eil3yyNmfGADDJ8G.jpg
1242937,The Dreadful,"In medieval England, Anne and her domineering mother-in-law Morwen struggle to survive on the outskirts of society. But when a man from Anne's past returns from war, a curse begins to take shape through a mysterious knight and threatens to destroy them all.",6.5,/hGH8Ji7pG2ytHxo7ABqHM3TpzFA.jpg
1511633,Nammoora Raja,A corrupt politician's plan of constructing a chemical factory is foiled by Raja. Things take a turn when Raja falls in love with the politician's daughter.,0.0,/y0Jnu1PymfyN8JQ9FcDHaPTIaKw.jpg
429769,Thee Nagar,"Yamaha Murugan (Karan) is a do-gooder, who commands respect from student’s community for his good deed as students chairman in a city college. Unable to find a lucrative job, he sets up a tea shop in front of the college from here he passed out. Life goes smooth for Murugan until he comes across a corrupt cop FIR Murthy (Shanmugarajan). Murugan is targeted for no fault of his by FIR Murthy. Nadhiya (Udhayathara), a girl next door falls for Murugan's good conduct. Both develop romance. However a bloody duel between Murugan and Murthy brings a change in the former's life. The rest is the battle between the two to assert their supremacy over one other that ends with a riveting climax.",0.0,/vNc1JsWyoPfQ8XDE5rTgiisp5zh.jpg
650920,Glück gehabt,Artur's released from the sheltered workshop that his marriage has become. A new woman enters his life. His relationships subjected to stress test. A tribute to love in the form of a black comedy.,4.875,/sLrWo3dkhA9DWjjTYCNwiDoP8mX.jpg
535451,O Prego,"Ronaldo is Brazilian, from good families and has a problem. His left hand is nailed to his father's table. The reason: Ronaldo has been abusing cocaine which has led him to accumulate debt. Their executioners did not forgive the fact that they had to travel once more, and again in vain, to Ronaldo's parents' cottage where he has been hiding. After confronting some characters (all of them seem sinister in Ronaldo's distorted gaze), the Brazilian manages to solve his problems, as if from a dream.",0.0,/lqXoQ69MOb47g4iCQivvWaxjjo6.jpg
1037830,Kara Krus,"Adela, a married woman, suffers from split personality disorder. Her alter ego, Lena, is a promiscuous woman. Things turn chaotic when her alter ago killed someone.",3.6,/1uLCXYgdb9Xe92JvaClK2uNpRhF.jpg
305119,Madame Bäurin,"On the Schiermoser farm tense expectation prevails. The 'Urban', the Schaubleins, surprisingly announced their arrival. In the past, they were welcome as generous summer visitors. But now the shortage years of the First World War prevail. And the farmer's wife suspects lazy parasites in the townsfolk. The city family is indeed facing ruin. Especially since the defiant daughter Rosalie has just knocked out a promising money marriage without regard to scandal. The Rosalie is attracted to the Schiermoser heir Franz. His mother already drives the thought of a 'Madame Bäurin' to madness. Everyone experiences a turbulent time of upheaval. The end of the First World War will shake the social fronts as well as the new machine age.",4.0,/bm7D2M0IlM3beqULdpdAlmxOQkD.jpg
211879,Free Range,"After being fired from his job at a newspaper for writing a destructive review of a celebrated movie, Fred, an aspiring writer, learns that his girlfriend is pregnant.",4.9,/ptPDsxoKfBR1frgiOd83WuKSYAl.jpg
1480387,undertone,The host of a popular paranormal podcast becomes haunted by terrifying recordings mysteriously sent her way.,0.0,/1wREWUEHzjDWSreNFbFLDO7YEaM.jpg
1443576,Sundays,"A 17-year-old idealist has to choose her course at university, and declares that she feels ever closer to God. Contemplating a membership within an enclosed religious order raises questions regarding the liberal principles of her father and her aunt, the latter who feels she should choose the life she wants but should experience life before doing so.",7.204,/3682SbY3rsNKsQzFpPUKrWdGmmx.jpg
1205225,Gates of Flesh,"A group of friends attempt to escape the city after an outbreak of demon-possessions. The friends seek shelter in an abandoned church, but their plans for escape are ruined when one of them becomes possessed.",5.4,/tsu0fapttpwweWhx2GvYFtSCFhi.jpg
1110034,Kraken,"Marine biologist Johanne is doing research on a fish farm in Vangsnes, a rural community located by the fjord, when she encounters several strange occurrences. Along with the brutal deaths of two local teenagers, all signs point to the deep fjord; can there be more to the depths than the eye can see? At the bottom of the deepest fjord rests a mythical monster as large as a mountain, with a myriad of arms ready to crush and devour anything they can grab.",6.714,/jVsflOu9WpMqUJ3WwVX2mITi86S.jpg
196991,"Friends, Comrades","The boisterous good humor of Jurmala, the nickel-mine owner, is, if anything, only barely dented by the raging battles in Finland before, during and after World War Two. In fact, everywhere he goes, he meets prospective customers on all sides of the conflict with his all-inclusive greeting ""Friends, Comrades."" Indeed, the resource he is wrenching from the earth's bowels is necessary to all forms of industrial activity, and is especially necessary for military applications. Thus, he has no reason to fear that he will ever run out of customers. This doesn't prevent him from using every possible means to entice them. At home, his relationship with his wife is not so prosperous, and they resort to some extraordinary means to try and keep on an even keel.",5.0,/w1gwEiuMTbZH9ohSQC2TkYgVyG7.jpg
